iter	Logloss
128	0.3067617519
129	0.3065865578
130	0.3051694183
131	0.3040515104
132	0.3027652235
133	0.3012473092
134	0.2997986807
135	0.2986541136
136	0.2978455874
137	0.2966495842
138	0.2954709819
139	0.2944064244
140	0.2936539371
141	0.2927140007
142	0.2919367999
143	0.2912253813
144	0.289883448
145	0.2893926087
146	0.2886348968
147	0.2879624755
148	0.2870150319
149	0.286168882
150	0.2855266957
151	0.2849072759
152	0.2839605042
153	0.2830671286
154	0.2825545029
155	0.2812224872
156	0.2803095132
157	0.2794372023
158	0.2782326584
159	0.2771674541
160	0.276363564
161	0.2757266267
162	0.2750536674
163	0.2738758801
164	0.2723182294
165	0.2709278527
166	0.2703726179
167	0.2692945002
168	0.2686178669
169	0.2678410822
170	0.2668015191
171	0.2661905784
172	0.2654751998
173	0.2643750578
174	0.2635202603
175	0.263123419
176	0.2622629856
177	0.2615118743
178	0.2604089027
179	0.2596904265
180	0.2591337317
181	0.2585123537
182	0.2577681451
183	0.2567178639
184	0.256135876
185	0.2555502408
186	0.2551088331
187	0.2543279639
188	0.2536827349
189	0.2533095764
190	0.2527456351
191	0.2521807791
192	0.2517401659
193	0.250725222
194	0.249982055
195	0.2491733872
196	0.2485135645
197	0.2478460321
198	0.2472187973
199	0.2465176772
200	0.2459832891
201	0.2453294984
202	0.2446286594
203	0.2437323928
204	0.2433050454
205	0.2426590767
206	0.242236023
207	0.2413979774
208	0.2407548663
209	0.2403005312
210	0.2396847543
211	0.2391528297
212	0.2383711124
213	0.2376495951
214	0.2373173556
215	0.2361638411
216	0.2356922645
217	0.2351506514
218	0.2344955338
219	0.2339405229
220	0.2338423278
221	0.2331515086
222	0.2326474917
223	0.2322544448
224	0.2313195474
225	0.2307252154
226	0.2300921257
227	0.229867358
228	0.2291744221
229	0.2286228798
230	0.2282750996
231	0.2275586241
232	0.2270421409
233	0.2265647205
234	0.225669679
235	0.2249688097
236	0.2242880455
237	0.223629929
238	0.2227266995
239	0.2223986154
240	0.2215437051
241	0.2210029159
242	0.220582353
243	0.2200669694
244	0.219666008
245	0.2188659978
246	0.218242764
247	0.2179307721
248	0.2172441685
249	0.2168826597
250	0.2165072998
251	0.2162564121
252	0.2157966656
253	0.215481009
254	0.2149180063
255	0.2145279831
256	0.214213194
257	0.2139364109
258	0.2134911237
259	0.2131797527
260	0.2127546573
261	0.2122101431
262	0.21173778
263	0.2113927739
264	0.2109915716
265	0.2105407391
266	0.210283553
267	0.2098619201
268	0.2095602994
269	0.2089488896
270	0.2085352113
271	0.2083033715
272	0.207911082
273	0.2076739705
274	0.2073441962
275	0.2068726221
276	0.206563039
277	0.2061679005
278	0.2055070542
279	0.2053379786
280	0.2049590485
281	0.204449643
282	0.2042919468
283	0.2038656231
284	0.2034766492
285	0.2029417921
286	0.2026915771
287	0.2021593153
288	0.201732306
289	0.2014550781
290	0.2008102737
291	0.2003273193
292	0.1996247308
293	0.1991983647
294	0.1986218995
295	0.1983160852
296	0.1980464629
297	0.1978970267
298	0.1974141692
299	0.1971758634
300	0.196796035
301	0.1964258012
302	0.1959864147
303	0.195755971
304	0.1948886454
305	0.1944927108
306	0.1942654069
307	0.1940273359
308	0.1937665121
309	0.1933207694
310	0.1929856602
311	0.1926619361
312	0.1921938323
313	0.1918695248
314	0.1917643501
315	0.1914027119
316	0.1908050032
317	0.1907496176
318	0.1904540128
319	0.1898857921
320	0.1896044909
321	0.1892396843
322	0.1887204523
323	0.1884890301
324	0.1878760714
325	0.187599456
326	0.1873738058
327	0.187060441
328	0.186817101
329	0.186196651
330	0.1857817101
331	0.1855367191
332	0.1851028814
333	0.1847663523
334	0.1844814743
335	0.1839388671
336	0.1835344145
337	0.1830681108
338	0.1827045188
339	0.1822711768
340	0.1816375725
341	0.1813018672
342	0.1809966574
343	0.1807282287
344	0.1802899158
345	0.1797556202
346	0.1790295685
347	0.1785292322
348	0.1778697976
349	0.177441297
350	0.1769775697
351	0.1765449216
352	0.1763110421
353	0.175692299
354	0.1751590189
355	0.1745057436
356	0.1738652938
357	0.1736144023
358	0.1731871471
359	0.1728103603
360	0.1723989885
361	0.172057212
362	0.1717631419
363	0.1714695485
364	0.1711208708
365	0.1710008344
366	0.1706066439
367	0.1701280136
368	0.1699011367
369	0.1697096095
370	0.1691443267
371	0.168797774
372	0.1683835375
373	0.168064658
374	0.1676253612
375	0.1671083553
376	0.1667043971
377	0.1664199108
378	0.1661976494
379	0.166000822
380	0.1657341201
381	0.1652671209
382	0.1649721169
383	0.1645904296
384	0.1641673142
385	0.1638309424
386	0.1633645732
387	0.1628481472
388	0.1626292316
389	0.1623468978
390	0.1619456315
391	0.1616418003
392	0.1612539888
393	0.1610003831
394	0.1608364177
395	0.1604493093
396	0.1601475288
397	0.1599367204
398	0.1596090934
399	0.1594445401
