iter	Logloss
0	0.6853714286
1	0.6778667011
2	0.6694856952
3	0.6628661121
4	0.6549966082
5	0.6485929054
6	0.6409759911
7	0.6343785143
8	0.6271940621
9	0.6216810389
10	0.6156097052
11	0.6089644256
12	0.6040140526
13	0.5980397069
14	0.5919636848
15	0.5853331617
16	0.5793214901
17	0.5741624025
18	0.5700736059
19	0.5652632321
20	0.5587051465
21	0.5535151522
22	0.5486391853
23	0.5438495724
24	0.5404741579
25	0.5370993472
26	0.5321815718
27	0.5274672738
28	0.5230172512
29	0.5203455773
30	0.5154797419
31	0.511715905
32	0.50703623
33	0.5038486572
34	0.5007904354
35	0.4982586477
36	0.4942492539
37	0.4905967066
38	0.486524656
39	0.4821709057
40	0.4787670323
41	0.4755814851
42	0.4715119839
43	0.4675592947
44	0.4644762946
45	0.4620378849
46	0.4589924964
47	0.4561724931
48	0.4512066207
49	0.4487797248
50	0.4446509086
51	0.4420014836
52	0.4386934986
53	0.4365300945
54	0.434227456
55	0.4317458527
56	0.4297237896
57	0.4274344158
58	0.4244022277
59	0.4219889815
60	0.4193110606
61	0.4169666748
62	0.4143720724
63	0.4114060518
64	0.4088869079
65	0.4056762687
66	0.4035852385
67	0.4003863014
68	0.399247747
69	0.3973333948
70	0.3951129462
71	0.39279708
72	0.3907218038
73	0.3881184117
74	0.3861488358
75	0.3847028401
76	0.3833864843
77	0.3816942359
78	0.379161997
79	0.3772159311
80	0.3752737855
81	0.3741143896
82	0.3728521847
83	0.3710547148
84	0.369320464
85	0.3674061787
86	0.3658698454
87	0.3642888339
88	0.3626738313
89	0.3609886635
90	0.3589921064
91	0.3572800876
92	0.354953776
93	0.3530741865
94	0.3516421623
95	0.3504458314
96	0.3490461776
97	0.3475315972
98	0.3457793024
99	0.3445645312
100	0.3433223148
101	0.3416694047
102	0.3397607049
103	0.3384345215
104	0.3367996105
105	0.3357982344
106	0.3338006657
107	0.3324010943
108	0.3309798614
109	0.3293721319
110	0.3280417494
111	0.3269065247
112	0.3253910325
113	0.3236095052
114	0.322537063
115	0.3210833991
116	0.3196237221
117	0.3184226355
118	0.3169755174
119	0.3153060279
120	0.3140675953
121	0.3131581809
122	0.3122588465
123	0.3114771409
124	0.3107944726
125	0.3099141425
126	0.3090254545
127	0.3079223086
